entidad,delisele,pedesitt,pedesi1,pedesi2,pedesi3,pedesi4,pedesi5,pedesi6,pedesi7,pedesi8,pedesi9
"29",20609,"0","0","0","0","0","0","0","0","0","0"
"29",91400,"0","0","0","0","0","0","0","0","0","0"
"29",999999,"","","","","","","","","",""
"30",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",20500,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",20601,"NSS","0","NSS","0","0","NSS","0","0","NSS","0"
"30",20602,"NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0"
"30",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"30",91400,"0","0","0","0","0","0","0","0","0","0"
"30",999999,"","","","","","","","","",""
"31",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"31",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"31",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"31",20500,"0","0","0","0","0","0","0","0","0","0"
"31",20600,"0","0","0","0","0","0","0","0","0","0"
"31",20601,"0","0","0","0","0","0","0","0","0","0"
