entidad,nacional,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"30",1,"32410","5076","963","21963","4408"
"30",2,"1","0","0","1","0"
"30",3,"0","0","0","0","0"
"30",4,"0","0","0","0","0"
"30",5,"0","0","0","0","0"
"30",6,"0","0","0","0","0"
"30",7,"10","1","0","7","2"
"30",8,"0","0","0","0","0"
"30",9,"0","0","0","0","0"
"30",10,"0","0","0","0","0"
"30",11,"0","0","0","0","0"
"30",12,"0","0","0","0","0"
"30",13,"1","1","0","0","0"
"30",14,"1","1","0","0","0"
"30",15,"0","0","0","0","0"
"30",16,"3","1","0","2","0"
"30",17,"7","4","0","2","1"
"30",18,"4","0","0","4","0"
"30",19,"1","0","0","1","0"
"30",20,"2389","401","74","1542","372"
"31",1,"NSS","NA","NA","NSS","NSS"
"31",2,"NSS","NA","NA","NSS","NSS"
"31",3,"NSS","NA","NA","NSS","NSS"
"31",4,"NSS","NA","NA","NSS","NSS"
"31",5,"NSS","NA","NA","NSS","NSS"
"31",6,"NSS","NA","NA","NSS","NSS"
"31",7,"NSS","NA","NA","NSS","NSS"
"31",8,"NSS","NA","NA","NSS","NSS"
"31",9,"NSS","NA","NA","NSS","NSS"
"31",10,"NSS","NA","NA","NSS","NSS"
"31",11,"NSS","NA","NA","NSS","NSS"
"31",12,"NSS","NA","NA","NSS","NSS"
"31",13,"NSS","NA","NA","NSS","NSS"
"31",14,"NSS","NA","NA","NSS","NSS"
"31",15,"NSS","NA","NA","NSS","NSS"
"31",16,"NSS","NA","NA","NSS","NSS"
"31",17,"NSS","NA","NA","NSS","NSS"
"31",18,"NSS","NA","NA","NSS","NSS"
"31",19,"NSS","NA","NA","NSS","NSS"
"31",20,"21917","NA","NA","21166","751"
"32",1,"7484","311","57","5849","1267"
"32",2,"8","0","0","5","3"
"32",3,"2","0","0","2","0"
"32",4,"0","0","0","0","0"
"32",5,"0","0","0","0","0"
"32",6,"0","0","0","0","0"
"32",7,"1","0","0","1","0"
"32",8,"0","0","0","0","0"
"32",9,"0","0","0","0","0"
"32",10,"2","0","0","2","0"
"32",11,"0","0","0","0","0"
"32",12,"0","0","0","0","0"
"32",13,"0","0","0","0","0"
"32",14,"0","0","0","0","0"
"32",15,"1","0","0","1","0"
"32",16,"1","0","0","0","1"
"32",17,"1","0","0","1","0"
"32",18,"0","0","0","0","0"
