entidad,vict_del,stpvnitt,stpvni1,stpvni2,stpvni3,stpvni4,stpvni5,stpvni6,stpvni7,stpvni8,stpvni9,stpvni10,stpvni11,stpvni12,stpvni13,stpvni14,stpvni15,stpvni16,stpvni17,stpvni18
"29",2,"80","36","13","2","3","2","0","0","0","0","12","11","0","0","0","1","0","0","0"
"29",3,"21","10","3","0","3","1","0","0","0","0","1","3","0","0","0","0","0","0","0"
"29",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29",9,"45","","","","","","","","","","25","20","","","","","","",""
"30",1,"3360","783","950","255","120","4","10","0","0","2","414","510","232","56","13","6","0","0","5"
"30",2,"479","120","112","27","19","2","6","0","0","3","81","73","23","5","0","4","0","0","4"
"30",3,"93","32","24","0","11","0","3","0","0","1","9","6","2","0","2","0","0","0","3"
"30",4,"17","1","1","0","0","0","0","0","0","0","11","0","3","0","0","1","0","0","0"
"30",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30",9,"8","2","","","","","","","","","1","5","","","","","","",""
"31",1,"864","102","199","0","10","0","2","0","0","0","213","184","29","16","4","100","0","0","5"
"31",2,"143","25","16","0","1","0","2","0","0","0","46","30","4","4","0","15","0","0","0"
"31",3,"33","2","5","1","0","0","0","0","0","0","15","8","2","0","0","0","0","0","0"
"31",4,"3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31",5,"4","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"31",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31",9,"","","","","","","","","","","","","","","","","","",""
"32",1,"2213","608","294","1","38","0","0","0","0","66","610","458","5","101","26","1","0","0","5"
"32",2,"544","161","89","0","6","0","0","0","0","0","128","130","25","3","1","1","0","0","0"
"32",3,"172","78","32","1","3","0","0","0","0","0","31","22","3","2","0","0","0","0","0"
"32",4,"41","22","12","1","2","0","0","0","0","0","2","1","0","0","1","0","0","0","0"
"32",5,"15","9","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"32",6,"65","47","6","3","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0"
"32",9,"12","","","","","","","","","","6","6","","","","","","",""
